genes	phenotypes
ANP32D	HP:0001370
ANP32D	HP:0001402
ANP32D	HP:0001402
ANP32D	HP:0001402
ANP32D	HP:0001402
ANP32D	HP:0030358
ANP32D	HP:0025318
ANP32D	HP:0005584
ANP32D	HP:0002860
ANP32D	HP:0002860
ANP32D	HP:0033533
ANP32D	HP:0001699
ANP32D	HP:0001645
ANP32D	HP:0001047
ANP32D	HP:0000520
ANP32D	HP:0100244
ANP32D	HP:0001627
ANP32D	HP:0002564
ANP32D	HP:0008222
ANP32D	HP:0008222
ANP32D	HP:0008222
ANP32D	HP:0003251
ANP32D	HP:0003251
ANP32D	HP:0008682
ANP32D	HP:0005550
ANP32D	HP:0005526
ANP32D	HP:0004845
ANP32D	HP:0012324
ANP32D	HP:0004808
ANP32D	HP:0004836
ANP32D	HP:0004448
ANP32D	HP:0006554
ANP32D	HP:0012192
ANP32D	HP:0002249
ANP32D	HP:0100001
ANP32D	HP:0011499
ANP32D	HP:0000544
ANP32D	HP:0000590
ANP32D	HP:0020102
ANP32D	HP:0001973
ANP32D	HP:0012254
ANP32D	HP:0004755
ANP32D	HP:0004756
ANP32D	HP:0004756
ARGFX	HP:0005112
ARGFX	HP:0011675
ARGFX	HP:0001370
ARGFX	HP:0001402
ARGFX	HP:0025318
ARGFX	HP:0002860
ARGFX	HP:0009800
ARGFX	HP:0005978
ARGFX	HP:0001627
ARGFX	HP:0002564
ARGFX	HP:0008222
ARGFX	HP:0008222
ARGFX	HP:0003251
ARGFX	HP:0012539
ARGFX	HP:0002249
ARGFX	HP:0000826
ARGFX	HP:0006510
ARMS2	HP:0005112
ARMS2	HP:0011675
ARMS2	HP:0001402
ARMS2	HP:0025318
ARMS2	HP:0002860
ARMS2	HP:0032282
ARMS2	HP:0001627
ARMS2	HP:0002564
ARMS2	HP:0008222
ARMS2	HP:0008682
ARMS2	HP:0004448
ARMS2	HP:0006554
ARMS2	HP:0004448
ARMS2	HP:0006554
ARMS2	HP:0002249
ARMS2	HP:0001112
ARMS2	HP:0004756
ARMS2	HP:0000505
ARNTL2	HP:0012028
ARNTL2	HP:0011675
ARNTL2	HP:0011675
ARNTL2	HP:0001370
ARNTL2	HP:0001402
ARNTL2	HP:0001644
ARNTL2	HP:0001639
ARNTL2	HP:0001639
ARNTL2	HP:0001406
ARNTL2	HP:0100279
ARNTL2	HP:0100651
ARNTL2	HP:0005978
ARNTL2	HP:0100518
ARNTL2	HP:0000794
ARNTL2	HP:0001627
ARNTL2	HP:0002564
ARNTL2	HP:0001627
ARNTL2	HP:0002564
ARNTL2	HP:0031217
ARNTL2	HP:0001712
ARNTL2	HP:0033762
ARNTL2	HP:0008222
ARNTL2	HP:0003251
ARNTL2	HP:0002725
ARNTL2	HP:0012743
ARNTL2	HP:0000823
ARNTL2	HP:0000826
ARNTL2	HP:0000826
ARNTL2	HP:0003193
ARNTL2	HP:0004756
ARNTL2	HP:0041143
ARNTL2	HP:0005162
ARNTL2	HP:0005162
ARPC4-TTLL3	HP:0005112
ARPC4-TTLL3	HP:0011675
ARPC4-TTLL3	HP:0001370
ARPC4-TTLL3	HP:0004469
ARPC4-TTLL3	HP:0001402
ARPC4-TTLL3	HP:0025318
ARPC4-TTLL3	HP:0002860
ARPC4-TTLL3	HP:0001644
ARPC4-TTLL3	HP:0001644
ARPC4-TTLL3	HP:0001639
ARPC4-TTLL3	HP:0030991
ARPC4-TTLL3	HP:0100768
ARPC4-TTLL3	HP:0100279
ARPC4-TTLL3	HP:0100279
ARPC4-TTLL3	HP:0100651
ARPC4-TTLL3	HP:0005978
ARPC4-TTLL3	HP:0000793
ARPC4-TTLL3	HP:0000097
ARPC4-TTLL3	HP:0001627
ARPC4-TTLL3	HP:0002564
ARPC4-TTLL3	HP:0001627
ARPC4-TTLL3	HP:0002564
ARPC4-TTLL3	HP:0000776
ARPC4-TTLL3	HP:0001712
ARPC4-TTLL3	HP:0008222
ARPC4-TTLL3	HP:0008222
ARPC4-TTLL3	HP:0003251
ARPC4-TTLL3	HP:0025127
ARPC4-TTLL3	HP:0008682
ARPC4-TTLL3	HP:0012324
ARPC4-TTLL3	HP:0004808
ARPC4-TTLL3	HP:0004836
ARPC4-TTLL3	HP:0012743
ARPC4-TTLL3	HP:0006775
ARPC4-TTLL3	HP:0011857
ARPC4-TTLL3	HP:0001059
ARPC4-TTLL3	HP:0000823
ARPC4-TTLL3	HP:0000826
ARPC4-TTLL3	HP:0006510
ARPC4-TTLL3	HP:0012410
ARPC4-TTLL3	HP:0003193
ARPC4-TTLL3	HP:0004756
ARPC4-TTLL3	HP:0005162
ARSE	HP:0025615
ARSE	HP:0003128
ARSE	HP:0012028
ARSE	HP:0001878
ARSE	HP:0001878
ARSE	HP:0001997
ARSE	HP:0003095
ARSE	HP:0001370
ARSE	HP:0001402
ARSE	HP:0001402
ARSE	HP:0001402
ARSE	HP:0005584
ARSE	HP:0005584
ARSE	HP:0033533
ARSE	HP:0001699
ARSE	HP:0032282
ARSE	HP:0001019
ARSE	HP:0100651
ARSE	HP:0100584
ARSE	HP:0006689
ARSE	HP:0000520
ARSE	HP:0000405
ARSE	HP:0000407
ARSE	HP:0001627
ARSE	HP:0002564
ARSE	HP:0001627
ARSE	HP:0002564
ARSE	HP:0008222
ARSE	HP:0008222
ARSE	HP:0003251
ARSE	HP:0008682
ARSE	HP:0008682
ARSE	HP:0004448
ARSE	HP:0006554
ARSE	HP:0006536
ARSE	HP:0012539
ARSE	HP:0012539
ARSE	HP:0011499
ARSE	HP:0030065
ARSE	HP:0012743
ARSE	HP:0002754
ARSE	HP:0000388
ARSE	HP:0000823
ARSE	HP:0006510
ARSE	HP:0001973
ARSE	HP:0032118
ARSE	HP:0004756
ARSE	HP:0012122
ARSF	HP:0006516
ARSF	HP:0005112
ARSF	HP:0011675
ARSF	HP:0011675
ARSF	HP:0001370
ARSF	HP:0004469
ARSF	HP:0001402
ARSF	HP:0001402
ARSF	HP:0025318
ARSF	HP:0002860
ARSF	HP:0002860
ARSF	HP:0100651
ARSF	HP:0005978
ARSF	HP:0001643
ARSF	HP:0033020
ARSF	HP:0001627
ARSF	HP:0002564
ARSF	HP:0001631
ARSF	HP:0001629
ARSF	HP:0008222
ARSF	HP:0003251
ARSF	HP:0004836
ARSF	HP:0002249
ARSF	HP:0006510
ARSF	HP:0003193
ARSF	HP:0032262
ARSF	HP:0005162
ARSH	HP:0012028
ARSH	HP:0012672
ARSH	HP:0005112
ARSH	HP:0011675
ARSH	HP:0011675
ARSH	HP:0011675
ARSH	HP:0001402
ARSH	HP:0001402
ARSH	HP:0001402
ARSH	HP:0025318
ARSH	HP:0002860
ARSH	HP:0001644
ARSH	HP:0001639
ARSH	HP:0001406
ARSH	HP:0002072
ARSH	HP:0100279
ARSH	HP:0001645
ARSH	HP:0009800
ARSH	HP:0100651
ARSH	HP:0005978
ARSH	HP:0005978
ARSH	HP:0001627
ARSH	HP:0002564
ARSH	HP:0001627
ARSH	HP:0002564
ARSH	HP:0001712
ARSH	HP:0008222
ARSH	HP:0008222
ARSH	HP:0003251
ARSH	HP:0003251
ARSH	HP:0003251
ARSH	HP:0002249
ARSH	HP:0012743
ARSH	HP:0012743
ARSH	HP:0000823
ARSH	HP:0000823
ARSH	HP:0000826
ARSH	HP:0000826
ARSH	HP:0003193
ARSH	HP:0003193
ARSH	HP:0011703
ARSH	HP:0004756
ARSH	HP:0004756
ARSH	HP:0005162
ARSH	HP:0005162
ASUN	HP:0003128
ASUN	HP:0006519
ASUN	HP:0033690
ASUN	HP:0001915
ASUN	HP:0001878
ASUN	HP:0001890
ASUN	HP:0001972
ASUN	HP:0005112
ASUN	HP:0011675
ASUN	HP:0001370
ASUN	HP:0001402
ASUN	HP:0030358
ASUN	HP:0002860
ASUN	HP:0001644
ASUN	HP:0001644
ASUN	HP:0001644
ASUN	HP:0030991
ASUN	HP:0001406
ASUN	HP:0100768
ASUN	HP:0001645
ASUN	HP:0100245
ASUN	HP:0000793
ASUN	HP:0000097
ASUN	HP:0000407
ASUN	HP:0001627
ASUN	HP:0002564
ASUN	HP:0001627
ASUN	HP:0002564
ASUN	HP:0001631
ASUN	HP:0001629
ASUN	HP:0000776
ASUN	HP:0031217
ASUN	HP:0001712
ASUN	HP:0003251
ASUN	HP:0025127
ASUN	HP:0008682
ASUN	HP:0008682
ASUN	HP:0012324
ASUN	HP:0004808
ASUN	HP:0004808
